User,,
Number,202402221539,
Material,,
Sample,,
area,,
length,,
size,,
strainRate,,
samplingRate,2,
testManner,,
driveBox,1,
motorSpeed,,
maxMotorSpeed,,
motorLength,,
maxMotorLength,,
motorCircle,,
sensorBox,2,
weighForce,,
maxWeighForce,,
CurrentTime,2024-02-22-15:39:46,
more,,
time,stress,Theoretical displacement,Actual displacement,
5.932,-inf,0,90.9467,
5.963,-inf,0,90.9375,
5.995,-inf,0,90.9375,
6.026,-inf,0,90.9153,
6.059,-inf,0,90.8911,
6.089,-inf,0,90.8911,
6.121,-inf,0,90.8731,
6.15,-inf,0,90.8731,
6.182,-inf,0,90.8364,
6.213,-inf,0,90.8364,
6.245,-inf,0,90.8094,
6.275,-inf,0,90.7833,
6.307,-inf,0,90.7833,
6.342,-inf,0,90.7603,
6.37,-inf,0,90.7603,
6.4,-inf,0,90.7603,
6.432,-inf,0,90.7311,
6.464,-inf,0,90.6633,
6.495,-inf,0,90.6633,
6.525,-inf,0,90.6369,
6.556,-inf,0,90.6122,
6.589,-inf,0,90.5894,
6.621,-inf,0,90.5894,
6.651,-inf,0,90.5894,
6.683,-inf,0,0,
6.716,-inf,0,0,
6.746,-inf,0,0,
6.777,-inf,0,0,
6.808,-inf,0,0,
6.839,-inf,0,0,
6.87,-inf,0,0,
6.901,-inf,0,0,
6.932,-inf,0,0,
6.967,-inf,0,0,
6.997,-inf,0,0,
7.029,-inf,0,0,
7.059,-inf,0,0,
7.088,-inf,0,0,
7.121,-inf,0,0,
7.152,-inf,0,0,
7.183,-inf,0,0,
7.215,-inf,0,90.3597,
7.246,-inf,0,90.3597,
7.277,-inf,0,90.3131,
7.31,-inf,0,90.3131,
7.339,-inf,0,90.3131,
7.372,-inf,0,90.245,
7.401,-inf,0,90.245,
7.433,-inf,0,90.2258,
7.463,-inf,0,90.2258,
7.496,-inf,0,90.1992,
7.528,-inf,0,90.1617,
7.559,-inf,0,90.1617,
7.59,-inf,0,90.1239,
7.62,-inf,0,90.1239,
7.65,-inf,0,90.0986,
7.683,-inf,0,90.0986,
7.713,-inf,0,90.0986,
7.746,-inf,0,90.0825,
7.775,-inf,0,90.0581,
7.81,-inf,0,90.0197,
7.839,-inf,0,89.9814,
7.87,-inf,0,89.9814,
7.902,-inf,0,89.965,
7.934,-inf,0,89.965,
7.963,-inf,0,89.9406,
7.996,-inf,0,89.9406,
8.027,-inf,0,89.9217,
8.06,-inf,0,89.9217,
8.088,-inf,0,89.9217,
8.12,-inf,0,89.8631,
8.151,-inf,0,89.8264,
8.184,-inf,0,89.8264,
8.217,-inf,0,89.8106,
8.245,-inf,0,89.8106,
8.279,-inf,0,89.7844,
8.309,-inf,0,89.7519,
8.34,-inf,0,89.7519,
8.372,-inf,0,89.7139,
8.403,-inf,0,89.7139,
8.435,-inf,0,89.6992,
8.465,-inf,0,89.6992,
8.496,-inf,0,89.6753,
8.526,-inf,0,89.6753,
8.557,-inf,0,89.65,
8.588,-inf,0,89.65,
8.62,-inf,0,89.6228,
8.651,-inf,0,89.6228,
8.683,-inf,0,89.6228,
8.715,-inf,0,89.6228,
8.747,-inf,0,89.5825,
8.777,-inf,0,89.5517,
8.808,-inf,0,89.5517,
8.843,-inf,0,89.5242,
8.869,-inf,0,89.5242,
8.903,-inf,0,89.4869,
8.933,-inf,0,89.4869,
8.963,-inf,0,89.4139,
8.995,-inf,0,89.4139,
9.025,-inf,0,89.3939,
9.058,-inf,0,89.3706,
9.088,-inf,0,89.3706,
9.121,-inf,0,89.3356,
9.154,-inf,0,89.3356,
9.183,-inf,0,89.3036,
9.213,-inf,0,89.3036,
9.246,-inf,0,89.2756,
9.279,-inf,0,89.2756,
9.308,-inf,0,89.2553,
9.338,-inf,0,89.2553,
9.37,-inf,0,89.2278,
9.402,-inf,0,89.2278,
9.434,-inf,0,89.1872,
9.465,-inf,0,89.1872,
9.498,-inf,0,89.1531,
9.528,-inf,0,89.1531,
9.561,-inf,0,89.1531,
9.588,-inf,0,89.1292,
9.62,-inf,0,89.1078,
9.653,-inf,0,89.1078,
9.684,-inf,0,89.0789,
9.714,-inf,0,89.0789,
9.745,-inf,0,89.0186,
9.776,-inf,0,89.0186,
9.808,-inf,0,88.9667,
9.838,-inf,0,88.9667,
9.87,-inf,0,88.9347,
9.9,-inf,0,88.9347,
9.933,-inf,0,88.9069,
9.963,-inf,0,88.9069,
9.998,-inf,0,88.8817,
10.026,-inf,0,88.8817,
10.057,-inf,0,88.8569,
10.092,-inf,0,88.8569,
10.122,-inf,0,88.8347,
10.151,-inf,0,88.8347,
10.185,-inf,0,88.8347,
10.216,-inf,0,88.8083,
10.245,-inf,0,88.8083,
10.275,-inf,0,88.7753,
10.307,-inf,0,88.7417,
10.338,-inf,0,88.7047,
10.371,-inf,0,88.7047,
10.402,-inf,0,88.69,
10.434,-inf,0,88.69,
10.466,-inf,0,88.6644,
10.497,-inf,0,88.6644,
10.526,-inf,0,88.6378,
10.558,-inf,0,88.6378,
10.589,-inf,0,88.5778,
10.62,-inf,0,88.5778,
10.652,-inf,0,88.5556,
10.682,-inf,0,88.5556,
10.717,-inf,0,88.5236,
10.745,-inf,0,88.5236,
10.775,-inf,0,88.4733,
10.81,-inf,0,88.4425,
10.84,-inf,0,88.4425,
10.873,-inf,0,88.4425,
10.902,-inf,0,88.4258,
10.932,-inf,0,88.4258,
10.965,-inf,0,88.4033,
10.995,-inf,0,88.4033,
11.026,-inf,0,88.4033,
11.061,-inf,0,88.4033,
11.09,-inf,0,88.4033,
11.124,-inf,0,88.4033,
11.156,-inf,0,88.4033,
11.186,-inf,0,88.3197,
11.216,-inf,0,88.3197,
11.245,-inf,0,88.3197,
11.275,-inf,0,88.2881,
11.307,-inf,0,88.2633,
11.339,-inf,0,88.2633,
11.372,-inf,0,88.2633,
11.401,-inf,0,88.1753,
11.433,-inf,0,88.1347,
11.466,-inf,0,88.1347,
11.495,-inf,0,88.1347,
11.526,-inf,0,88.1214,
11.56,-inf,0,88.1214,
11.588,-inf,0,88.1214,
11.621,-inf,0,88.0686,
11.655,-inf,0,88.0686,
11.685,-inf,0,88.0686,
11.714,-inf,0,88.0317,
11.746,-inf,0,88.0317,
11.775,-inf,0,88.0317,
11.807,-inf,0,88.0106,
11.84,-inf,0,87.9606,
11.87,-inf,0,87.9606,
11.904,-inf,0,87.9236,
11.933,-inf,0,87.9236,
11.963,-inf,0,87.8825,
11.996,-inf,0,87.8825,
12.027,-inf,0,87.8658,
12.059,-inf,0,87.82,
12.089,-inf,0,87.82,
12.123,-inf,0,87.7472,
12.152,-inf,0,87.7472,
12.184,-inf,0,87.7472,
12.216,-inf,0,87.7289,
12.248,-inf,0,87.7289,
12.276,-inf,0,87.7289,
12.31,-inf,0,87.7089,
12.339,-inf,0,87.7089,
12.371,-inf,0,87.6847,
12.401,-inf,0,87.6847,
12.433,-inf,0,87.6489,
12.464,-inf,0,87.6489,
12.497,-inf,0,87.6489,
12.529,-inf,0,87.6072,
12.559,-inf,0,87.6072,
12.588,-inf,0,87.6072,
12.623,-inf,0,87.5858,
12.652,-inf,0,87.5858,
12.683,-inf,0,87.5522,
12.713,-inf,0,87.5522,
12.746,-inf,0,87.5025,
12.776,-inf,0,87.5025,
12.809,-inf,0,87.5025,
12.838,-inf,0,87.4597,
12.874,-inf,0,87.4597,
12.904,-inf,0,87.4597,
12.934,-inf,0,87.4322,
12.963,-inf,0,87.4322,
12.998,-inf,0,87.3928,
13.026,-inf,0,87.3928,
13.058,-inf,0,87.3161,
13.092,-inf,0,87.3161,
13.12,-inf,0,87.2844,
13.151,-inf,0,87.2844,
13.184,-inf,0,87.2517,
13.213,-inf,0,87.2517,
13.246,-inf,0,87.1994,
13.277,-inf,0,87.1994,
13.308,-inf,0,87.1994,
13.344,-inf,0,87.1994,
13.373,-inf,0,87.1783,
0.004,-inf,0,87.1783,
0.035,-inf,0,87.1783,
0.064,-inf,0,87.1542,
0.097,-inf,0,87.1542,
0.13,-inf,0,87.1233,
0.158,-inf,0,87.1233,
0.189,-inf,0,87.1233,
0.223,-inf,0,87.0608,
0.252,-inf,0,87.0608,
0.284,-inf,0,87.0608,
0.315,-inf,0,87.0608,
0.345,-inf,0,87.0608,
0.381,-inf,0,87.0608,
0.409,-inf,0,87.0608,
0.444,-inf,0,87.0608,
0.474,-inf,0,87.0608,
0.502,-inf,0,87.0608,
0.536,-inf,0,87.0608,
0.568,-inf,0,87.0608,
0.595,-inf,0,85.6647,
0.629,-inf,0,85.6647,
0.662,-inf,0,85.3444,
0.696,-inf,0,85.3444,
0.725,-inf,0,85.3444,
0.758,-inf,0,85.0253,
0.794,-inf,0,85.0253,
0.818,-inf,0,85.0253,
0.847,-inf,0,84.39,
0.878,-inf,0,84.39,
0.908,-inf,0,84.0919,
0.939,-inf,0,84.0919,
0.971,-inf,0,83.7142,
1.005,-inf,0,83.7142,
1.033,-inf,0,83.1089,
1.064,-inf,0,83.1089,
1.095,-inf,0,82.6769,
1.129,-inf,0,82.6769,
1.158,-inf,0,82.3642,
1.189,-inf,0,82.1586,
1.22,-inf,0,82.1586,
1.252,-inf,0,81.7411,
1.283,-inf,0,81.7411,
1.317,-inf,0,81.7411,
1.345,-inf,0,81.5831,
1.381,-inf,0,81.5831,
1.411,-inf,0,81.2444,
1.443,-inf,0,81.2444,
1.472,-inf,0,80.9264,
1.504,-inf,0,80.9264,
1.533,-inf,0,80.6325,
1.568,-inf,0,80.6325,
1.596,-inf,0,80.3133,
1.627,-inf,0,80.3133,
1.659,-inf,0,79.9953,
1.693,-inf,0,79.6897,
1.72,-inf,0,79.6897,
1.755,-inf,0,79.6897,
1.783,-inf,0,79.3769,
1.821,-inf,0,79.3769,
1.851,-inf,0,79.0881,
1.882,-inf,0,79.0881,
1.91,-inf,0,79.0881,
1.939,-inf,0,79.0881,
1.971,-inf,0,78.7456,
2.005,-inf,0,78.7456,
2.033,-inf,0,78.4267,
2.068,-inf,0,78.4267,
2.096,-inf,0,78.1075,
2.132,-inf,0,78.1075,
2.158,-inf,0,78.1075,
2.194,-inf,0,77.4803,
2.22,-inf,0,77.4803,
2.253,-inf,0,77.1683,
2.285,-inf,0,77.1683,
2.316,-inf,0,77.1683,
2.345,-inf,0,76.8619,
2.383,-inf,0,76.8619,
2.411,-inf,0,76.5019,
2.44,-inf,0,76.5019,
2.47,-inf,0,76.5019,
2.502,-inf,0,76.5019,
2.533,-inf,0,76.0558,
2.572,-inf,0,76.0558,
2.608,-inf,0,76.0558,
2.632,-inf,0,76.0558,
2.663,-inf,0,76.0558,
2.693,-inf,0,75.6219,
2.725,-inf,0,75.6219,
2.753,-inf,0,75.6219,
2.784,-inf,0,75.2906,
2.815,-inf,0,75.2906,
2.847,-inf,0,75.2906,
2.879,-inf,0,74.6783,
2.908,-inf,0,74.6783,
2.939,-inf,0,74.6783,
2.97,-inf,0,73.9947,
3.003,-inf,0,73.9947,
3.034,-inf,0,73.3975,
3.069,-inf,0,73.3975,
3.096,-inf,0,73.3975,
3.129,-inf,0,72.9242,
3.158,-inf,0,72.4681,
3.189,-inf,0,72.4681,
3.222,-inf,0,72.4681,
3.253,-inf,0,72.1397,
3.284,-inf,0,72.1397,
3.314,-inf,0,72.1397,
3.349,-inf,0,71.7997,
3.379,-inf,0,71.7997,
3.408,-inf,0,71.3642,
3.44,-inf,0,71.3642,
3.47,-inf,0,70.9164,
3.504,-inf,0,70.9164,
3.533,-inf,0,70.9164,
3.571,-inf,0,70.6194,
3.598,-inf,0,70.6194,
3.629,-inf,0,70.6194,
3.659,-inf,0,70.2428,
3.69,-inf,0,70.2428,
3.723,-inf,0,69.8028,
3.755,-inf,0,69.8028,
3.789,-inf,0,69.5258,
3.821,-inf,0,69.5258,
3.852,-inf,0,69.035,
3.886,-inf,0,69.035,
3.913,-inf,0,69.035,
3.942,-inf,0,68.7075,
3.972,-inf,0,68.7075,
4.008,-inf,0,68.7075,
4.035,-inf,0,68.7075,
4.068,-inf,0,68.4114,
4.097,-inf,0,68.4114,
4.128,-inf,0,68.0308,
4.16,-inf,0,68.0308,
4.193,-inf,0,67.5761,
4.224,-inf,0,67.5761,
4.257,-inf,0,66.9933,
4.282,-inf,0,66.9933,
4.317,-inf,0,66.9933,
4.347,-inf,0,66.6531,
4.376,-inf,0,66.6531,
4.41,-inf,0,66.2069,
4.442,-inf,0,66.2069,
4.472,-inf,0,66.2069,
4.507,-inf,0,66.2069,
4.535,-inf,0,66.0131,
4.569,-inf,0,66.0131,
4.596,-inf,0,65.4506,
4.628,-inf,0,65.4506,
4.66,-inf,0,65.1064,
4.693,-inf,0,65.1064,
4.723,-inf,0,65.1064,
4.754,-inf,0,65.1064,
4.783,-inf,0,64.6331,
4.817,-inf,0,64.6331,
4.847,-inf,0,64.6331,
4.878,-inf,0,64.3186,
4.91,-inf,0,64.3186,
4.947,-inf,0,63.8436,
4.975,-inf,0,63.8436,
5.009,-inf,0,63.3639,
5.036,-inf,0,63.3639,
5.067,-inf,0,63.3639,
5.096,-inf,0,62.9006,
5.132,-inf,0,62.9006,
5.165,-inf,0,62.5731,
5.196,-inf,0,62.5731,
5.221,-inf,0,62.2414,
5.255,-inf,0,62.2414,
5.289,-inf,0,62.2414,
5.316,-inf,0,62.2414,
5.346,-inf,0,61.7986,
5.379,-inf,0,61.7986,
5.407,-inf,0,61.5003,
5.442,-inf,0,61.5003,
5.472,-inf,0,61.15,
5.507,-inf,0,61.15,
5.534,-inf,0,61.15,
5.57,-inf,0,60.6642,
5.6,-inf,0,60.6642,
5.633,-inf,0,60.6642,
5.661,-inf,0,60.2444,
5.691,-inf,0,60.2444,
5.72,-inf,0,60.2444,
5.756,-inf,0,60.2444,
5.784,-inf,0,59.9406,
5.819,-inf,0,59.9406,
5.851,-inf,0,59.4406,
5.885,-inf,0,59.4406,
5.909,-inf,0,59.4406,
5.941,-inf,0,58.9553,
5.971,-inf,0,58.9553,
6.002,-inf,0,58.9553,
6.033,-inf,0,58.9553,
6.07,-inf,0,58.3403,
6.1,-inf,0,58.3403,
6.131,-inf,0,58.3403,
6.162,-inf,0,58.0422,
6.196,-inf,0,58.0422,
6.223,-inf,0,58.0422,
6.255,-inf,0,57.6853,
6.284,-inf,0,57.6853,
6.319,-inf,0,56.9406,
6.348,-inf,0,56.9406,
6.378,-inf,0,56.4522,
6.41,-inf,0,56.4522,
6.439,-inf,0,56.4522,
6.47,-inf,0,55.9811,
6.505,-inf,0,55.9811,
6.534,-inf,0,55.9811,
6.569,-inf,0,55.5372,
6.597,-inf,0,55.5372,
6.63,-inf,0,55.3647,
6.658,-inf,0,55.3647,
6.692,-inf,0,54.9058,
6.721,-inf,0,54.4208,
6.755,-inf,0,54.4208,
6.786,-inf,0,54.4208,
6.817,-inf,0,54.4208,
6.846,-inf,0,54.1114,
6.881,-inf,0,54.1114,
6.909,-inf,0,54.1114,
6.945,-inf,0,53.8078,
6.975,-inf,0,53.8078,
7.003,-inf,0,53.8078,
7.034,-inf,0,53.5019,
7.067,-inf,0,53.5019,
7.096,-inf,0,53.1453,
7.127,-inf,0,53.1453,
7.158,-inf,0,52.5542,
7.189,-inf,0,52.5542,
7.22,-inf,0,52.0764,
7.254,-inf,0,52.0764,
7.283,-inf,0,51.7469,
7.317,-inf,0,51.7469,
7.346,-inf,0,51.7469,
7.381,-inf,0,51.4567,
7.411,-inf,0,51.4567,
7.443,-inf,0,51.4567,
7.476,-inf,0,51.1483,
7.509,-inf,0,51.1483,
7.536,-inf,0,50.8472,
7.57,-inf,0,50.8472,
7.598,-inf,0,50.5006,
7.628,-inf,0,50.5006,
7.658,-inf,0,50.0225,
7.689,-inf,0,50.0225,
7.722,-inf,0,49.5367,
7.756,-inf,0,49.5367,
7.786,-inf,0,49.5367,
7.822,-inf,0,49.2233,
7.854,-inf,0,49.2233,
7.88,-inf,0,49.2233,
7.909,-inf,0,49.2233,
7.943,-inf,0,48.8133,
7.972,-inf,0,48.8133,
8.003,-inf,0,48.8133,
8.036,-inf,0,48.4956,
8.064,-inf,0,48.4956,
8.098,-inf,0,48.1353,
8.128,-inf,0,48.1353,
8.158,-inf,0,47.6772,
8.193,-inf,0,47.2078,
8.22,-inf,0,47.2078,
8.256,-inf,0,47.2078,
8.284,-inf,0,47.2078,
8.319,-inf,0,46.7775,
8.348,-inf,0,46.7775,
8.38,-inf,0,46.4258,
8.409,-inf,0,46.145,
8.44,-inf,0,46.145,
8.47,-inf,0,46.145,
8.506,-inf,0,46.145,
8.533,-inf,0,45.6672,
8.569,-inf,0,45.6672,
8.595,-inf,0,45.4683,
8.631,-inf,0,45.4683,
8.658,-inf,0,45.4683,
8.696,-inf,0,45.0481,
8.726,-inf,0,45.0481,
8.759,-inf,0,45.0481,
8.786,-inf,0,44.5642,
8.818,-inf,0,44.5642,
8.851,-inf,0,44.5642,
8.88,-inf,0,44.2428,
8.908,-inf,0,44.2428,
8.944,-inf,0,44.2428,
8.973,-inf,0,43.7622,
9.006,-inf,0,43.7622,
9.036,-inf,0,43.7622,
9.065,-inf,0,43.2753,
9.096,-inf,0,42.9733,
